"ALBION","ID",42.38,-113.60
"ALBION","IL",38.37,-88.05
"ALBION","IN",41.39,-85.41
"ALBION","ME",44.53,-69.44
"ALBION","MI",42.24,-84.75
"ALBION","NE",41.68,-98.00
"ALBION","NY",43.24,-78.18
"ALBION","PA",41.88,-80.36
"ALBORN","MN",46.97,-92.57
"ALBRIGHTSVILLE","PA",40.96,-75.61
"ALBRIGHT","WV",39.49,-79.63
"ALBUQUERQUE","NM",35.11,-106.62
"ALBURGH","VT",44.97,-73.30
"ALBURNETT","IA",42.14,-91.61
"ALBURTIS","PA",40.50,-75.60
"ALCESTER","SD",43.02,-96.62
"ALCOA","TN",35.79,-83.97
"ALCOLU","SC",33.76,-80.15
"ALCOVA","WY",42.55,-106.72
"ALCOVE","NY",42.45,-74.03
"ALDA","NE",40.86,-98.46
"ALDEN","IA",42.51,-93.37
"ALDEN","KS",38.24,-98.31
"ALDEN","MI",44.88,-85.26
"ALDEN","MN",43.67,-93.57
"ALDEN","NY",42.89,-78.49
"ALDER CREEK","NY",43.42,-75.22
"ALDERPOINT","CA",40.18,-123.60
"ALDERSON","WV",37.72,-80.64
"ALDIE","VA",38.97,-77.64
"ALDRICH","MN",46.37,-94.93
"ALDRICH","MO",37.54,-93.55
"ALEDO","IL",41.19,-90.74
"ALEDO","TX",32.69,-97.60
"ALEPPO","PA",39.82,-80.45
"ALEXANDER","AR",34.63,-92.44
"ALEXANDER CITY","AL",32.92,-85.93
"ALEXANDER","IA",42.80,-93.47
"ALEXANDER","IL",39.71,-90.05
"ALEXANDER","KS",38.46,-99.55
"ALEXANDER","NC",35.70,-82.63
"ALEXANDER","ND",47.84,-103.64
"ALEXANDER","NY",42.90,-78.26
"ALEXANDRIA","AL",33.78,-85.90
"ALEXANDRIA BAY","NY",44.33,-75.91
"ALEXANDRIA","IN",40.25,-85.67
"ALEXANDRIA","KY",38.96,-84.38
"ALEXANDRIA","LA",31.29,-92.46
"ALEXANDRIA","MN",45.87,-95.37
"ALEXANDRIA","MO",40.35,-91.45
"ALEXANDRIA","NE",40.24,-97.38
"ALEXANDRIA","OH",40.08,-82.61
"ALEXANDRIA","PA",40.55,-78.10
"ALEXANDRIA","SD",43.65,-97.77
"ALEXANDRIA","TN",36.07,-86.03
"ALEXANDRIA","VA",38.82,-77.08
"ALEXIS","IL",41.06,-90.55
"ALEXIS","NC",35.38,-81.10
"ALEX","OK",34.92,-97.77
"ALFORD","FL",30.69,-85.39
"ALFRED","ME",43.47,-70.71
"ALFRED","NY",42.25,-77.78
"ALFRED STATION","NY",42.24,-77.81
"ALGER","MI",44.11,-84.11
"ALGER","OH",40.70,-83.84
"ALGODONES","NM",35.38,-106.47
"ALGOMA","WI",44.60,-87.44
"ALGONAC","MI",42.61,-82.53
"ALGONA","IA",43.07,-94.23
"ALGONQUIN","IL",42.16,-88.30
"ALHAMBRA","CA",34.07,-118.14
"ALHAMBRA","IL",38.88,-89.73
"ALICE","TX",27.75,-98.06
"ALICEVILLE","AL",33.12,-88.15
"ALICIA","AR",35.89,-91.08
"ALINE","OK",36.50,-98.44
"ALIQUIPPA","PA",40.61,-80.25
"ALISO VIEJO","CA",33.57,-117.72
"ALKOL","WV",38.17,-81.99
"ALLARDT","TN",36.38,-84.88
"ALLEDONIA","OH",39.89,-80.95
"ALLEGAN","MI",42.52,-85.84
"ALLEGANY","NY",42.09,-78.49
"ALLEGHANY","CA",39.46,-120.84
"ALLEMAN","IA",41.81,-93.61
"ALLENDALE","IL",38.52,-87.71
"ALLENDALE","MI",42.98,-85.95
"ALLENDALE","NJ",41.03,-74.13
"ALLENDALE","SC",33.00,-81.30
"ALLENHURST","GA",31.78,-81.60
"ALLENHURST","NJ",40.23,-74.00
"ALLEN","KS",38.65,-96.16
"ALLEN","KY",37.61,-82.72
"ALLEN","MI",41.95,-84.76
"ALLEN","NE",42.41,-96.84
"ALLEN","OK",34.87,-96.41
"ALLEN PARK","MI",42.25,-83.21
"ALLEN","SD",43.28,-101.92
"ALLENSPARK","CO",40.20,-105.52
"ALLENSVILLE","KY",36.71,-87.06
"ALLENSVILLE","PA",40.53,-77.81
"ALLENTON","MI",42.92,-82.88
"ALLENTON","WI",43.47,-88.35
"ALLENTOWN","NJ",40.17,-74.58
"ALLENTOWN","PA",40.59,-75.47
"ALLEN","TX",33.10,-96.66
"ALLENWOOD","PA",41.09,-76.90
"ALLERTON","IA",40.70,-93.36
"ALLERTON","IL",39.91,-87.93
"ALLEYTON","TX",29.74,-96.46
"ALLIANCE","NE",42.10,-102.87
"ALLIANCE","OH",40.91,-81.11
"ALLIGATOR","MS",34.08,-90.72
"ALLISON","IA",42.75,-92.79
"ALLISON","PA",39.98,-79.87
"ALLISON PARK","PA",40.57,-79.95
"ALLONS","TN",36.51,-85.32
"ALLOUEZ","MI",47.28,-88.40
"ALLPORT","PA",40.97,-78.21
"ALLRED","TN",36.36,-85.19
"ALLSTON","MA",42.35,-71.13
"ALLYN","WA",47.37,-122.84
"ALMA","AR",35.48,-94.22
"ALMA CENTER","WI",44.43,-90.91
"ALMA","GA",31.54,-82.47
"ALMA","IL",38.72,-88.91
"ALMA","KS",39.01,-96.28
"ALMA","MI",43.37,-84.65
"ALMA","MO",39.09,-93.54
